Category,Question,Scenario
Budgeting and Money Management,"If you earn $1,000 per month and your rent is $600, what is the maximum you should ideally spend on non-essential items based on the 50/30/20 rule?","Jordan earns $1,000 a month from a part-time job. After paying rent, they want to buy new sneakers and eat out often. Their budgeting app suggests using the 50/30/20 rule. Jordan must decide whether to stick to the suggested spending limit for 'wants' or spend freely this month."
Budgeting and Money Management,Which of the following count as expenses you must plan for every month?,"Tasha just got her first apartment. She writes down her bills but forgets to include transportation and groceries. When her bus pass expires early, she realizes she’s short on cash. She has to decide whether to cut entertainment or dip into savings to cover it."
Budgeting and Money Management,What is the difference between a 'want' and a 'need' when you are planning your spending?,"Alex wants to upgrade their phone, but their current one still works fine. They also need to pay for textbooks. Faced with a limited budget, Alex must choose between buying the new phone or prioritizing the school expenses."
Budgeting and Money Management,Which statement best describes a 'budget'?,Priya earns enough to cover her bills but never tracks her spending. She notices she runs out of money before each paycheck. A friend tells her to try budgeting. Priya must decide whether to start making a simple income plan or keep spending without one.
Budgeting and Money Management,Why is it important to have an emergency fund when you have limited income?,Rico’s car breaks down a week before payday. He doesn’t have any savings. Now he must decide between borrowing money from a high-interest loan service or cutting expenses next month to start building an emergency fund.
Credit and Borrowing,Credit cards always improve your credit score as long as you make the minimum payment.,"Samantha just got her first credit card. She pays only the minimum each month and uses most of her limit. When she checks her credit score, it hasn’t gone up as she expected. She must decide whether to pay down the full balance or continue with minimum payments."
Credit and Borrowing,Having no credit card or loan at all guarantees you have a good credit score.,"Evan avoids debt completely and never applied for a credit card. When he tries to rent an apartment, the landlord says he has 'no credit history.' Evan must decide whether to start using a small credit line to build history or stay debt-free and face limited options."
Credit and Borrowing,"When you take out a student loan, 'interest' means:","Maria takes out a student loan but doesn’t fully understand what 'interest' means. A year later, her balance is higher than what she borrowed. She must decide whether to start making small payments early or ignore the loan until after graduation."
Credit and Borrowing,"If you borrow $1,000 today with an interest rate of 10% per year and make no payments for a year, how much will you owe at the end of the year?","Chris borrows $1,000 for a laptop, thinking he’ll pay it back later. He’s surprised when the lender says he owes more after a year. Now, he must decide whether to make small monthly payments or let the interest keep building."
Credit and Borrowing,Which of the following actions can help build a good credit (or trustworthy borrowing) history?,Lena has two credit cards. One she uses responsibly and pays off monthly; the other she maxed out. Her friend tells her closing the cards might help. Lena must choose whether to keep them open and manage them well or close them both immediately.
Financial Attitudes and Habits,How much do you agree with the following statement: 'Learning about budgeting and savings feels relevant to my current life situation.',"Diego is asked to take a financial literacy class. He feels it’s boring and not useful yet. But when he struggles to pay unexpected expenses, he must decide whether to take the class seriously or skip it entirely."
Financial Attitudes and Habits,"If your friend says they avoid checking their bank account because it makes them anxious, what would be the best financial advice to give?","Taylor’s friend, Kim, says checking her account gives her stress. Taylor must decide whether to encourage Kim to check it regularly to build awareness—or tell her to avoid it to stay comfortable."
Financial Attitudes and Habits,Which of the following do you think can help improve financial wellbeing for students?,"A group of students, including Leo, are planning a campus financial wellness campaign. Leo must decide whether to focus on teaching stock investments right away or on budgeting, credit, and open money conversations first."
Financial Attitudes and Habits,How likely are you to apply what you learn from financial-education tools or games in your daily life?,"Nora plays a budgeting simulation game for her class. Afterward, she has to decide whether to actually apply the savings strategy she learned in her real life or treat it as just another school activity."
Financial Attitudes and Habits,"If your savings account earns 2% annual interest, what happens if you leave $100 in it for one year?","Omar puts $100 in a savings account and forgets about it. Later, he sees it grew slightly from interest. He must decide whether to add more money regularly to grow his savings or leave it as-is and see minimal gains."
